name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
renault kwid 1.0 rxt optional,2017,350000,10000,petrol,individual,manual,first owner
hyundai grand i10 magna,2015,325000,25000,petrol,individual,manual,third owner
tata tigor 1.2 revotron xt,2018,450000,8500,petrol,individual,manual,first owner
maruti sx4 celebration diesel,2012,250000,120000,diesel,individual,manual,first owner
volkswagen polo diesel comfortline 1.2l,2012,225000,120000,diesel,individual,manual,first owner
maruti alto lxi,2009,150000,90246,petrol,individual,manual,third owner
maruti alto lx bsiii,2008,110000,90000,petrol,individual,manual,second owner
maruti alto lxi bsiii,2010,150000,40000,petrol,individual,manual,second owner
maruti gypsy king hard top,2000,165000,60000,petrol,individual,manual,fourth & above owner
renault duster 85ps diesel rxl,2017,610000,32000,diesel,individual,manual,second owner
tata manza club class quadrajet90 vx,2013,170000,60400,diesel,individual,manual,first owner
hyundai verna crdi,2008,150000,70950,diesel,individual,manual,second owner
hyundai i20 asta 1.4 crdi,2013,300000,90000,diesel,individual,manual,first owner
hyundai xcent 1.1 crdi base,2015,375000,72000,diesel,individual,manual,first owner
maruti swift vdi,2013,390000,90000,diesel,individual,manual,first owner
hyundai i20 active 1.2 s,2017,600000,10000,petrol,individual,manual,first owner
maruti alto 800 lxi,2014,204999,25000,petrol,individual,manual,second owner
hyundai verna crdi,2009,270000,80000,diesel,individual,manual,second owner
hyundai grand i10 sportz,2017,375000,10000,petrol,individual,manual,first owner
maruti baleno zeta,2020,700000,1100,petrol,individual,manual,first owner
maruti swift vxi deca,2017,455000,40000,petrol,individual,manual,first owner
hyundai i10 sportz 1.1l,2017,375000,10000,petrol,individual,manual,first owner
hyundai grand i10 asta,2014,341000,31491,petrol,individual,manual,first owner
maruti swift dzire vdi,2014,200000,107143,diesel,individual,manual,second owner
maruti ignis 1.2 amt delta bsiv,2017,450000,15000,petrol,individual,automatic,first owner
hyundai santro xing gl plus,2012,170000,50000,petrol,individual,manual,second owner
toyota innova crysta 2.4 vx mt 8s bsiv,2017,1900000,100000,diesel,individual,manual,first owner
mahindra bolero power plus lx,2016,500000,60000,diesel,individual,manual,first owner
maruti vitara brezza zdi plus,2016,819999,85000,diesel,individual,manual,first owner
maruti swift 1.2 dlx,2014,351000,40000,petrol,individual,manual,second owner
hyundai i10 magna 1.2 itech se,2011,195000,80000,petrol,individual,manual,second owner
maruti swift dzire vdi,2008,250000,82000,diesel,individual,manual,second owner
maruti zen estilo 1.1 vxi bsiii,2008,120000,70000,petrol,individual,manual,second owner
maruti a-star vxi,2009,180000,70000,petrol,individual,manual,third owner
mahindra kuv 100 mfalcon d75 k6,2016,430000,20000,diesel,individual,manual,first owner
tata nano cx bsiv,2012,75000,35000,petrol,individual,manual,second owner
mahindra xylo d4,2017,750000,80000,diesel,individual,manual,first owner
tata nano lx,2011,60000,40000,petrol,individual,manual,first owner
toyota innova 2.5 vx (diesel) 8 seater,2015,1500000,46412,diesel,individual,manual,first owner
mahindra bolero slx 2wd bsiii,2011,390000,150000,diesel,individual,manual,fourth & above owner
mahindra tuv 300 t4,2016,630000,50000,diesel,individual,manual,first owner
tata safari storme vx varicor 400,2018,1085000,15000,diesel,individual,manual,first owner
hyundai i10 magna 1.2 itech se,2012,190000,60000,petrol,individual,manual,second owner
maruti baleno delta automatic,2018,550000,25000,petrol,individual,automatic,first owner
maruti alto 800 lxi,2012,200000,90000,petrol,individual,manual,third owner
chevrolet spark 1.0 lt,2011,165000,60000,petrol,individual,manual,first owner
ford figo diesel celebration edition,2013,260000,65000,diesel,individual,manual,first owner
maruti alto lx,2011,151000,40000,petrol,individual,manual,first owner
maruti vitara brezza vdi,2018,780000,50000,diesel,individual,manual,first owner
tata indica vista quadrajet lx,2012,175000,80000,diesel,individual,manual,third owner
tata indica vista tdi ls,2010,170000,107500,diesel,dealer,manual,first owner
tata indica vista tdi ls,2013,210000,135000,diesel,dealer,manual,second owner
maruti alto lxi,2007,90000,43826,petrol,dealer,manual,second owner
hyundai i20 active s petrol,2016,535000,55838,petrol,dealer,manual,first owner
maruti swift vdi bsiv,2007,195000,112880,diesel,dealer,manual,first owner
tata indica vista terra quadrajet 1.3l,2011,140000,90000,diesel,individual,manual,third owner
nissan sunny xl,2012,350000,40000,petrol,individual,manual,first owner
hyundai verna 1.6 sx vtvt (o),2013,425000,66000,petrol,individual,manual,first owner
renault kwid 1.0 rxt optional,2017,300000,30300,petrol,individual,manual,first owner
volkswagen vento diesel style limited edition,2013,340000,85000,diesel,individual,manual,second owner
maruti swift dzire vxi,2009,250000,80659,petrol,dealer,manual,first owner
chevrolet aveo 1.4 ls,2008,170000,81324,petrol,dealer,manual,first owner
honda amaze s i-dtech,2013,315000,127884,diesel,dealer,manual,first owner
chevrolet beat ps,2015,200000,50000,petrol,individual,manual,first owner
chevrolet beat ps,2016,300000,25000,petrol,individual,manual,first owner
honda amaze s i-dtech,2015,300000,66755,diesel,dealer,manual,first owner
honda city e,2013,380000,123084,petrol,dealer,manual,first owner
maruti swift vxi bsiii,2009,250000,806599,petrol,dealer,manual,first owner
honda amaze s i-dtech,2013,310000,95851,diesel,dealer,manual,first owner
maruti wagon r vxi minor abs,2010,260000,50000,petrol,individual,manual,first owner
maruti omni bsiii 8-str w/ immobiliser,2008,150000,50000,petrol,individual,manual,second owner
maruti esteem vxi - bsiii,2006,85000,60000,petrol,individual,manual,second owner
maruti alto 800 lxi,2015,280000,15000,petrol,individual,manual,second owner
mahindra xylo h4 abs,2016,850000,40000,diesel,individual,manual,first owner
datsun go plus t option bsiv,2017,375000,20000,petrol,individual,manual,second owner
hyundai elantra crdi (leather option),2006,125000,120000,diesel,individual,manual,third owner
chevrolet beat diesel lt,2012,250000,110000,diesel,individual,manual,first owner
toyota corolla altis d-4d j,2014,715000,234000,diesel,individual,manual,first owner
hyundai i20 1.4 crdi era,2011,220000,70000,diesel,individual,manual,first owner
tata indica vista aqua 1.3 quadrajet,2010,110000,110000,diesel,individual,manual,second owner
hyundai verna xxi (petrol),2007,150000,84000,petrol,individual,manual,second owner
nissan sunny diesel xv,2012,300000,170000,diesel,individual,manual,first owner
datsun redigo t option,2017,220000,40000,petrol,individual,manual,first owner
maruti wagon r lx,2006,75000,96000,petrol,individual,manual,second owner
tata indigo ls,2009,100000,20000,diesel,individual,manual,first owner
ford figo aspire 1.2 ti-vct trend,2016,380000,15000,petrol,individual,manual,first owner
hyundai santro xing xk (non-ac),2007,100000,50000,petrol,individual,manual,first owner
volkswagen passat 1.8 tsi mt,2010,480000,80000,petrol,individual,manual,second owner
toyota etios gd,2012,300000,124000,diesel,individual,manual,first owner
chevrolet beat diesel ls,2013,190000,70000,diesel,individual,manual,first owner
ford figo diesel lxi,2012,190000,130000,diesel,individual,manual,second owner
ford ecosport 1.5 ti vct mt trend bsiv,2017,650000,19014,petrol,dealer,manual,first owner
toyota corolla executive (he),2009,300000,23262,petrol,dealer,manual,first owner
ford freestyle titanium diesel bsiv,2016,700000,29600,diesel,dealer,manual,first owner
hyundai i10 sportz 1.1l,2015,310000,35925,petrol,dealer,manual,first owner
maruti ignis 1.2 zeta bsiv,2018,500000,12000,petrol,individual,manual,first owner
toyota etios v,2013,415000,40771,petrol,dealer,manual,first owner
maruti celerio vxi at,2015,395000,30500,petrol,dealer,automatic,second owner
toyota etios liva 1.2 g,2014,430000,42000,petrol,dealer,manual,second owner
toyota corolla h6,2007,215000,55800,petrol,dealer,manual,second owner
renault duster rxl awd,2014,550000,66569,diesel,dealer,manual,first owner
volkswagen polo 1.5 tdi trendline,2014,415000,81358,diesel,dealer,manual,first owner
volkswagen polo 1.5 tdi comfortline,2015,450000,82695,diesel,dealer,manual,first owner
ford figo diesel exi,2014,285000,68293,diesel,dealer,manual,second owner
honda jazz vx cvt,2016,580000,32000,petrol,dealer,automatic,first owner
maruti swift dzire tour ldi,2014,300000,190621,diesel,dealer,manual,first owner
hyundai verna crdi 1.6 sx option,2018,1200000,60000,diesel,individual,manual,first owner
maruti 800 std mpfi,2006,78000,64700,petrol,individual,manual,first owner
maruti 800 ac,2002,65000,100000,petrol,individual,manual,second owner
tata zest quadrajet 1.3 75ps xe,2016,400000,88470,diesel,individual,manual,first owner
hyundai verna 1.6 crdi sx option,2016,850000,75000,diesel,individual,manual,first owner
volkswagen vento diesel highline,2013,450000,120000,diesel,individual,manual,second owner
mercedes-benz e-class e250 cdi blue efficiency,2012,2500000,35000,diesel,individual,automatic,first owner
toyota etios 1.4 vxd,2017,780000,70000,diesel,individual,manual,first owner
toyota fortuner 2.8 2wd at bsiv,2017,3200000,57000,diesel,individual,automatic,first owner
maruti alto 800 vxi,2020,350000,1000,petrol,individual,manual,first owner
mahindra quanto c6,2013,285000,120000,diesel,individual,manual,second owner
volkswagen vento 1.5 tdi highline,2015,525000,98000,diesel,dealer,manual,first owner
maruti ciaz zdi,2014,550000,90000,diesel,dealer,manual,second owner
volkswagen ameo 1.5 tdi comfortline,2018,580000,70000,diesel,individual,manual,first owner
tata nano cx se,2013,75000,25000,petrol,individual,manual,third owner
tata manza aura quadrajet,2009,185000,60000,diesel,individual,manual,third owner
maruti omni e 8 str std,2007,110000,90000,petrol,individual,manual,fourth & above owner
honda city 1.5 exi,2004,180000,200000,petrol,individual,manual,second owner
volkswagen polo diesel comfortline 1.2l,2010,350000,110000,diesel,individual,manual,second owner
chevrolet optra 1.6 ls,2005,60000,126000,petrol,individual,manual,second owner
mahindra tuv 300 t10,2018,695000,70000,diesel,individual,manual,first owner
mahindra alturas g4 4x2 at bsiv,2019,2700000,5000,diesel,individual,automatic,first owner
maruti zen estilo lx bsiii,2007,135000,74183,petrol,individual,manual,second owner
mahindra bolero power plus plus ac bsiv ps,2015,640000,70000,diesel,individual,manual,second owner
maruti alto 800 vxi,2014,160000,90000,petrol,individual,manual,first owner
tata indica lxi,2004,80000,46000,petrol,individual,manual,second owner
maruti swift dzire vdi,2013,340000,110000,diesel,individual,manual,second owner
maruti ritz vdi,2012,110000,80000,diesel,individual,manual,second owner
tata sumo gold ex,2013,250000,90000,diesel,individual,manual,second owner
toyota innova crysta 2.4 vx mt bsiv,2017,1300000,70000,diesel,individual,manual,first owner
mahindra quanto c6,2014,250000,1,diesel,individual,manual,second owner
toyota innova 2.5 g (diesel) 8 seater bs iv,2009,450000,192000,diesel,individual,manual,first owner
maruti wagon r lx minor,2013,240000,70000,petrol,individual,manual,fourth & above owner
mahindra bolero di dx 7 seater,2007,225000,120000,diesel,individual,manual,second owner
maruti wagon r vxi optional,2015,275000,60000,petrol,individual,manual,second owner
tata sumo victa cx 7/9 str bsii,2012,320000,120000,diesel,individual,manual,second owner
maruti alto lx bsiii,2008,75000,120000,petrol,individual,manual,first owner
tata indica gls bs iv,2007,85000,50000,petrol,individual,manual,second owner
tata indica vista aqua tdi bsiii,2009,90000,120000,diesel,individual,manual,first owner
maruti wagon r lxi minor,2007,85000,80000,petrol,individual,manual,second owner
mahindra scorpio m2di,2008,350000,80000,diesel,individual,manual,second owner
skoda superb elegance 2.0 tdi cr at,2009,355000,100000,diesel,individual,automatic,second owner
maruti swift vxi,2020,619000,1500,petrol,individual,manual,first owner
jeep compass 2.0 longitude option bsiv,2018,1700000,50000,diesel,individual,manual,first owner
tata indica dl,2006,55000,100000,diesel,individual,manual,second owner
ford fiesta 1.6 zxi leather,2006,95000,83411,petrol,individual,manual,first owner
volkswagen vento diesel highline,2011,300000,120000,diesel,individual,manual,second owner
ford fiesta 1.6 zxi leather,2006,81000,83411,petrol,individual,manual,first owner
skoda superb elegance 2.0 tdi cr at,2015,1000000,80000,diesel,individual,automatic,second owner
maruti ertiga vdi,2019,925000,50000,diesel,individual,manual,first owner
mahindra bolero power plus plus ac bsiv ps,2015,450000,40000,diesel,individual,manual,first owner
mahindra scorpio ex,2014,600000,13270,diesel,individual,manual,first owner
hyundai santro xing xl at erlx euro iii,2006,85000,100000,petrol,individual,automatic,third owner
mahindra thar di 4x4 ps,2016,700000,50000,diesel,individual,manual,first owner
hyundai grand i10 1.2 kappa magna bsiv,2017,486000,26500,petrol,individual,manual,first owner
maruti swift vdi,2013,400000,90000,diesel,individual,manual,first owner
ford fiesta 1.4 duratec zxi,2008,120000,100000,petrol,individual,manual,third owner
maruti alto 800 lxi,2018,275000,35000,petrol,individual,manual,first owner
hyundai i20 asta option 1.4 crdi,2016,580000,57000,diesel,individual,manual,first owner
maruti swift dzire lxi,2015,375000,70000,petrol,individual,manual,first owner
maruti wagon r vxi bs iv with abs,2015,229999,100000,petrol,individual,manual,third owner
maruti alto lx,2010,110000,88000,petrol,individual,manual,second owner
maruti swift dzire vdi,2017,600000,60000,diesel,individual,manual,first owner
maruti a-star vxi,2009,120000,76000,petrol,individual,manual,second owner
ford figo diesel titanium,2010,200000,100000,diesel,individual,manual,second owner
hyundai verna 1.6 sx crdi (o),2012,450000,110000,diesel,individual,manual,second owner
hyundai verna 1.6 sx crdi (o),2012,550000,80000,diesel,individual,manual,second owner
maruti alto lx,2012,220000,80000,petrol,individual,manual,second owner
maruti 800 ex,2001,40000,30000,petrol,individual,manual,first owner
renault kwid climber 1.0 amt,2017,300000,20000,petrol,individual,automatic,first owner
mahindra bolero power plus sle,2018,630000,40000,diesel,individual,manual,first owner
maruti swift dzire vdi,2017,610000,40000,diesel,individual,manual,second owner
hyundai xcent 1.2 vtvt s,2019,660000,7000,petrol,individual,manual,second owner
maruti wagon r lxi lpg bsiv,2012,220000,80000,lpg,individual,manual,second owner
nissan micra diesel xv premium,2011,138000,90000,diesel,individual,manual,second owner
nissan micra diesel xv premium,2013,210000,13770,diesel,individual,manual,first owner
maruti zen lxi - bs iii,2005,125000,34000,petrol,dealer,manual,first owner
maruti alto lxi bsiii,2008,125000,102000,petrol,dealer,manual,first owner
honda city i dtec sv,2014,725000,110000,diesel,individual,manual,first owner
maruti alto k10 2010-2014 vxi,2011,170000,90000,petrol,individual,manual,second owner
toyota innova 2.5 vx (diesel) 7 seater,2015,1200000,70000,diesel,individual,manual,third owner
maruti wagon r vxi bsiii,2003,70000,90000,petrol,individual,manual,second owner
maruti alto lxi,2007,100000,70000,petrol,individual,manual,second owner
honda civic 1.8 (e) mt,2006,300000,80000,petrol,individual,manual,second owner
maruti swift vdi,2013,450000,100000,diesel,individual,manual,second owner
maruti swift dzire vdi,2015,530000,100000,diesel,individual,manual,first owner
maruti zen estilo 1.1 lxi bsiii,2007,100000,143000,petrol,individual,manual,third owner
honda city 1.5 v mt,2010,350000,115000,petrol,individual,manual,second owner
tata manza elan quadrajet bs iv,2011,165000,100000,diesel,individual,manual,second owner
maruti swift dzire zdi,2019,475000,120000,diesel,individual,manual,second owner
mahindra xylo e4 abs bs iv,2013,350000,42000,diesel,individual,manual,first owner
renault kwid rxl,2016,229999,38000,petrol,individual,manual,first owner
honda wr-v i-dtec vx,2018,800000,35000,diesel,individual,manual,first owner
maruti swift dzire zdi,2014,475000,120000,diesel,individual,manual,second owner
nissan terrano xl 110 ps,2014,425000,136906,diesel,individual,manual,first owner
maruti ciaz vdi plus,2015,660000,97000,diesel,individual,manual,second owner
honda amaze s cvt petrol,2019,610000,10000,petrol,individual,automatic,first owner
honda brio s mt,2013,240000,50000,petrol,individual,manual,third owner
maruti esteem lxi,2005,70000,60000,petrol,individual,manual,second owner
toyota corolla altis diesel d4dgl,2011,550000,120000,diesel,individual,manual,first owner
tata indica vista aura 1.2 safire,2010,100000,120000,petrol,individual,manual,second owner
mahindra bolero sle,2010,350000,90000,diesel,individual,manual,second owner
hyundai eon era plus,2013,200000,120000,petrol,individual,manual,first owner
hyundai elite i20 asta option cvt bsiv,2019,720000,3000,petrol,individual,automatic,first owner
maruti ritz vdi,2014,350000,133000,diesel,individual,manual,first owner
maruti wagon r vxi bs iv,2016,400000,25000,petrol,individual,manual,first owner
hyundai i20 active 1.2 s,2017,570000,35000,petrol,individual,manual,first owner
maruti omni mpi std bsiv,2015,130000,70000,petrol,individual,manual,first owner
maruti alto 800 lxi,2016,210000,52000,petrol,individual,manual,first owner
hyundai creta 1.4 e plus,2018,800000,52000,diesel,individual,manual,first owner
honda jazz 1.5 e i dtec,2017,700000,39000,diesel,individual,manual,first owner
tata indica vista quadrajet vx,2011,200000,28689,diesel,individual,manual,first owner
tata aria pure lx 4x2,2014,495000,90000,diesel,individual,manual,second owner
ford fiesta classic 1.4 duratorq clxi,2014,325000,80322,diesel,dealer,manual,first owner
ford freestyle trend petrol bsiv,2019,650000,8000,petrol,individual,manual,first owner
mahindra jeep mm 775 xdb,2000,155000,50000,diesel,individual,manual,second owner
maruti 800 ac bsiii,2007,75000,90000,petrol,individual,manual,second owner
hyundai grand i10 1.2 crdi magna,2015,350000,61658,diesel,dealer,manual,first owner
maruti zen estilo lx bsiv,2010,90000,50000,petrol,individual,manual,third owner
maruti ertiga shvs vdi,2016,600000,80000,diesel,individual,manual,first owner
mahindra scorpio sle bsiii,2010,400000,185000,diesel,individual,manual,first owner
maruti swift vdi bsiv,2014,370000,57000,diesel,individual,manual,second owner
maruti 800 dx,2000,50000,60000,petrol,individual,manual,first owner
honda city 1.5 gxi,2004,125000,120000,petrol,individual,manual,second owner
honda cr-v diesel 4wd,2018,1800000,26000,diesel,individual,automatic,first owner
hyundai grand i10 1.2 kappa magna at,2019,650000,20000,petrol,individual,automatic,first owner
maruti ertiga bsiv vxi at,2017,800000,30600,petrol,individual,automatic,first owner
volkswagen polo 1.0 tsi highline plus,2020,802000,5000,petrol,individual,manual,first owner
audi a4 35 tdi premium,2015,2300000,35000,diesel,individual,automatic,third owner
hyundai xcent 1.1 crdi sx,2016,430000,35000,diesel,individual,manual,first owner
hyundai verna 1.6 sx vtvt,2017,650000,23000,petrol,individual,manual,first owner
mahindra scorpio 2.6 slx turbo 7 seater,2004,170000,120000,diesel,individual,manual,first owner
skoda superb elegance 2.0 tdi cr at,2011,450000,235000,diesel,individual,automatic,first owner
maruti alto 800 lxi,2013,250000,87000,petrol,individual,manual,first owner
ford ecosport 1.0 ecoboost titanium,2014,550000,72000,petrol,individual,manual,second owner
jaguar xf 3.0 litre s premium luxury,2013,2000000,64000,diesel,individual,automatic,second owner
maruti zen estilo vxi bsiii,2007,140000,100000,petrol,individual,manual,second owner
chevrolet beat lt,2012,155000,12000,petrol,individual,manual,first owner
hyundai accent executive,2010,120000,67000,petrol,individual,manual,third owner
toyota innova 2.5 e 8 str,2012,287000,70000,diesel,individual,manual,first owner
maruti baleno alpha 1.3,2016,675000,60000,diesel,individual,manual,first owner
hyundai i10 magna 1.2 itech se,2011,235000,74500,petrol,individual,manual,second owner
hyundai i20 1.4 crdi asta,2011,300000,118700,diesel,individual,manual,second owner
nissan micra xl cvt,2015,434999,40000,petrol,individual,automatic,second owner
mahindra scorpio vlx at 2wd bsiii,2004,225000,223660,diesel,individual,automatic,third owner
toyota corolla ae,2006,160000,140000,petrol,individual,manual,second owner
hyundai grand i10 nios sportz,2020,600000,5000,petrol,individual,manual,first owner
chevrolet tavera neo 3 lt 9 seats bsiii,2016,470000,100000,diesel,individual,manual,second owner
maruti swift dzire vxi,2011,300000,100000,petrol,individual,manual,second owner
maruti baleno delta 1.2,2018,600000,2000,petrol,individual,manual,first owner
hyundai grand i10 nios amt magna,2020,640000,4000,petrol,individual,automatic,first owner
tata indica dls,2006,50000,120000,diesel,individual,manual,fourth & above owner
hyundai verna 1.6 vtvt s,2015,600000,35000,petrol,individual,manual,first owner
hyundai i10 magna lpg,2014,290000,29000,lpg,individual,manual,first owner
hyundai verna 1.6 vtvt s,2015,600000,30000,petrol,individual,manual,first owner
tata manza aqua quadrajet bs iv,2012,190000,120000,diesel,individual,manual,first owner
hyundai i10 era 1.1,2008,160000,110000,petrol,individual,manual,third owner
maruti alto k10 vxi,2017,325000,15000,petrol,individual,manual,first owner
mahindra bolero di,2006,200000,73756,diesel,individual,manual,first owner
toyota fortuner 2.8 2wd at bsiv,2018,2800000,40000,diesel,individual,automatic,first owner
chevrolet spark 1.0 ls,2011,125000,60000,petrol,individual,manual,third owner
hyundai i10 magna 1.1,2008,155000,60000,petrol,individual,manual,fourth & above owner
hyundai i20 asta 1.4 crdi,2015,550000,90000,diesel,individual,manual,first owner
maruti wagon r lx bsiii,2009,130000,70000,petrol,individual,manual,fourth & above owner
maruti 800 ac,2002,80000,70000,petrol,individual,manual,second owner
toyota etios cross 1.4l gd,2015,500000,80000,diesel,individual,manual,second owner
renault kwid rxt bsiv,2019,250000,27000,petrol,individual,manual,first owner
mahindra xuv500 w8 2wd,2012,580000,70000,diesel,individual,manual,first owner
daewoo matiz sd,2002,60000,50000,petrol,individual,manual,first owner
toyota etios gd,2012,300000,185000,diesel,individual,manual,first owner
ford figo diesel titanium,2014,200000,90000,diesel,individual,manual,second owner
tata hexa xt,2017,1200000,16400,diesel,individual,manual,first owner
toyota etios cross 1.4l gd,2015,350000,80000,diesel,individual,manual,second owner
mahindra xuv500 w8 4wd,2012,600000,80000,diesel,individual,manual,second owner
honda jazz v,2019,650000,4000,petrol,individual,manual,first owner
maruti a-star lxi,2008,120000,40000,petrol,individual,manual,first owner
tata new safari dicor 2.2 ex 4x2,2010,180000,120000,diesel,individual,manual,second owner
hyundai verna vtvt 1.6 at sx option,2018,950000,41395,petrol,individual,automatic,first owner
tata manza aura quadrajet bs iv,2012,250999,35000,diesel,individual,manual,second owner
skoda laura ambiente 2.0 tdi cr mt,2012,385000,52000,diesel,dealer,manual,first owner
audi a8 l 3.0 tdi quattro,2009,1250000,47000,diesel,dealer,automatic,second owner
chevrolet beat lt,2013,165000,50000,petrol,individual,manual,first owner
hyundai elantra sx,2015,700000,48000,petrol,dealer,manual,first owner
mahindra xuv500 w8 4wd,2015,750000,53000,diesel,dealer,manual,first owner
mahindra renault logan 1.5 dls,2008,89999,213000,diesel,individual,manual,first owner
datsun redi-go amt 1.0 t option,2018,290000,15000,petrol,dealer,automatic,first owner
tata nano cx bsiii,2014,45000,7000,petrol,individual,manual,second owner
skoda superb ambition 2.0 tdi cr at,2013,675000,88000,diesel,dealer,automatic,first owner
nissan terrano xl plus 85 ps,2015,530000,55000,diesel,dealer,manual,first owner
bmw x1 sdrive20d m sport,2014,1485000,48000,diesel,dealer,automatic,first owner
chevrolet enjoy tcdi lt 7 seater,2014,325000,71014,diesel,dealer,manual,first owner
honda amaze s diesel,2015,400000,60000,diesel,dealer,manual,first owner
mahindra kuv 100 d75 k6 plus,2017,380000,71000,diesel,dealer,manual,first owner
honda city i-vtec cvt vx,2016,750000,45000,petrol,dealer,automatic,first owner
honda brio vx,2017,390000,45000,petrol,dealer,manual,first owner
maruti alto lxi,2009,110000,20000,petrol,individual,manual,first owner
mg hector sharp diesel mt bsiv,2019,1825000,14000,diesel,dealer,manual,first owner
audi a4 35 tdi premium plus,2019,3256000,17000,diesel,dealer,automatic,first owner
renault scala diesel rxl,2015,370000,60000,diesel,dealer,manual,first owner
chevrolet beat diesel lt,2013,210000,80000,diesel,individual,manual,second owner
skoda laura ambiente 1.9 pd,2007,175000,181000,diesel,individual,manual,fourth & above owner
hyundai verna 1.6 sx crdi (o),2012,575000,89550,diesel,individual,manual,second owner
mahindra xylo d4,2010,320000,90000,diesel,individual,manual,third owner
maruti swift ldi bsiv,2010,280000,149500,diesel,individual,manual,third owner
renault duster 85ps diesel rxl optional,2013,500000,190000,diesel,individual,manual,second owner
ford fiesta diesel style,2013,380000,83000,diesel,dealer,manual,first owner
maruti 800 ac bsiii,2005,120000,20000,petrol,individual,manual,second owner
maruti eeco 5 seater ac bsiv,2018,395000,20000,petrol,individual,manual,first owner
skoda laura 1.9 tdi mt ambiente,2010,360000,160000,diesel,individual,manual,first owner
nissan terrano xl plus 85 ps,2015,451000,100000,diesel,individual,manual,first owner
chevrolet spark 1.0 ls,2010,175000,45000,petrol,individual,manual,second owner
chevrolet spark 1.0 ls,2009,170000,44800,petrol,individual,manual,second owner
hyundai santro xing xl erlx euro iii,2006,100000,40000,petrol,individual,manual,second owner
maruti omni mpi std bsiv,2014,150000,120000,petrol,individual,manual,third owner
tata indica vista quadrajet lx,2011,149000,10000,diesel,individual,manual,second owner
tata indica vista aqua 1.3 quadrajet,2011,160000,80000,diesel,individual,manual,second owner
datsun go plus t option petrol,2018,434999,10000,petrol,individual,manual,first owner
mahindra xuv500 w8 4wd,2014,800000,156000,diesel,individual,manual,first owner
toyota innova 2.5 vx (diesel) 7 seater bs iv,2010,819999,120000,diesel,individual,manual,second owner
maruti baleno vxi,2007,163000,100000,petrol,individual,manual,second owner
mercedes-benz e-class 220 cdi,2001,350000,100000,diesel,individual,manual,second owner
tata indica gls bs iv,2006,75000,100000,petrol,individual,manual,second owner
maruti alto lxi,2012,180000,60000,petrol,individual,manual,second owner
ford figo aspire 1.5 tdci trend,2017,675000,30000,diesel,individual,manual,first owner
maruti swift vdi,2013,400000,170000,diesel,individual,manual,first owner
volkswagen polo diesel highline 1.2l,2013,434999,100000,diesel,individual,manual,second owner
tata indigo glx,2006,100000,110000,petrol,individual,manual,second owner
maruti swift dzire ldi optional,2015,419000,170000,diesel,individual,manual,second owner
tata indica gls bs iv,2009,200000,100000,petrol,individual,manual,first owner
renault scala diesel rxl,2014,400000,35000,diesel,individual,manual,first owner
ford ecosport 1.5 diesel ambiente bsiv,2018,790000,40000,diesel,individual,manual,second owner
renault duster 85ps diesel rxl plus,2015,500000,90000,diesel,individual,manual,second owner
skoda rapid 1.6 tdi elegance,2012,275000,120000,diesel,individual,manual,second owner
hyundai i20 1.4 crdi sportz,2012,450000,120000,diesel,individual,manual,second owner
mahindra xuv500 w11 option awd,2020,1400000,25000,diesel,dealer,manual,first owner
renault duster 110ps diesel rxl,2015,800000,15000,diesel,individual,manual,first owner
maruti wagon r vxi,2014,315000,41000,petrol,dealer,manual,first owner
maruti baleno alpha,2019,700000,16000,petrol,individual,manual,first owner
mahindra bolero slx,2016,585000,51000,diesel,dealer,manual,first owner
chevrolet sail 1.2 lt abs,2014,350000,30000,petrol,individual,manual,first owner
honda city i-dtec sv,2014,495000,80000,diesel,dealer,manual,first owner
hyundai grand i10 1.2 kappa asta,2017,500000,50000,petrol,individual,manual,first owner
hyundai grand i10 1.2 kappa sportz option,2013,345000,44000,petrol,dealer,manual,first owner
maruti baleno sigma 1.2,2015,500000,10000,petrol,individual,manual,first owner
maruti wagon r vxi,2016,360000,33000,petrol,dealer,manual,first owner
maruti alto lxi bsiii,2010,210000,25000,petrol,individual,manual,first owner
maruti alto k10 lxi,2014,220000,66000,petrol,dealer,manual,first owner
chevrolet aveo 1.4 lt bsiv,2009,250000,48000,petrol,individual,manual,first owner
toyota innova 2.5 g (diesel) 8 seater,2016,990000,146000,diesel,dealer,manual,first owner
mahindra quanto c4,2013,220000,100000,diesel,individual,manual,fourth & above owner
jaguar xf 3.0 litre s premium luxury,2012,1800000,50000,diesel,individual,automatic,second owner
honda city i vtec v,2014,530000,50000,petrol,individual,manual,first owner
maruti baleno alpha 1.3,2016,575000,50000,diesel,individual,manual,first owner
mahindra xylo e4,2012,400000,99000,diesel,dealer,manual,first owner
honda mobilio s i dtec,2016,680000,50000,diesel,individual,manual,first owner
hyundai santa fe 4wd at,2014,1000000,80000,diesel,individual,automatic,first owner
maruti alto 800 lxi,2016,260000,45000,petrol,individual,manual,second owner
tata manza aura (abs) safire bs iv,2010,150000,50000,petrol,individual,manual,second owner
maruti alto lxi bsiii,2008,180000,70000,petrol,individual,manual,third owner
force one ex,2014,346000,37516,diesel,individual,manual,first owner
mahindra xylo d2 bs iv,2015,450000,20000,diesel,individual,manual,first owner
hyundai grand i10 1.2 kappa sportz bsiv,2019,500000,5000,petrol,individual,manual,first owner
hyundai grand i10 1.2 crdi asta,2019,700000,8000,diesel,individual,manual,first owner
