name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,age_of_car,price_per_km,is_diesel,is_dealer,is_automatic,owner_priority,brand
honda brio v mt,2014,425000,29654,petrol,trustmark dealer,manual,first owner,12,14.331961961286842,0,0,0,1,honda
maruti baleno alpha 1.3,2016,770000,64672,diesel,trustmark dealer,manual,first owner,10,11.906234537357744,1,0,0,1,maruti
hyundai creta 1.6 sx automatic diesel,2015,1150000,54634,diesel,trustmark dealer,automatic,second owner,11,21.049163524545154,1,0,1,2,hyundai
honda city i vtec v,2015,775000,66521,petrol,trustmark dealer,manual,first owner,11,11.650456246899475,0,0,0,1,honda
toyota innova crysta 2.4 gx at,2018,1725000,23974,diesel,dealer,automatic,second owner,8,71.95294902811379,1,1,1,2,toyota
bmw 3 series 320d luxury line,2016,2150000,43000,diesel,dealer,automatic,first owner,10,50.0,1,1,1,1,bmw
renault duster 85ps diesel rxl,2013,450000,1000,diesel,dealer,manual,second owner,13,450.0,1,1,0,2,renault
mercedes-benz c-class progressive c 220d,2018,3800000,10000,diesel,dealer,automatic,first owner,8,380.0,1,1,1,1,mercedes-benz
audi a4 3.0 tdi quattro,2013,1580000,86000,diesel,dealer,automatic,first owner,13,18.372093023255815,1,1,1,1,audi
bmw x5 xdrive 30d xline,2019,4950000,30000,diesel,dealer,automatic,first owner,7,165.0,1,1,1,1,bmw
hyundai creta 1.6 crdi sx,2016,535000,52600,diesel,individual,manual,first owner,10,10.171102661596958,1,0,0,1,hyundai
maruti sx4 vxi bsiv,2012,225000,110000,petrol,individual,manual,second owner,14,2.0454545454545454,0,0,0,2,maruti
hyundai grand i10 1.2 kappa magna at,2017,550000,19890,petrol,dealer,automatic,first owner,9,27.65208647561589,0,1,1,1,hyundai
maruti swift zxi bsiv,2016,670000,7104,petrol,trustmark dealer,manual,first owner,10,94.31306306306307,0,0,0,1,maruti
maruti ertiga vxi,2015,625000,11918,petrol,trustmark dealer,manual,first owner,11,52.44168484645075,0,0,0,1,maruti
hyundai grand i10 magna at,2017,520000,10510,petrol,dealer,automatic,first owner,9,49.476688867745004,0,1,1,1,hyundai
chevrolet beat lt option,2016,239000,41000,petrol,dealer,manual,first owner,10,5.829268292682927,0,1,0,1,chevrolet
toyota fortuner 4x2 at,2017,2600000,47162,diesel,trustmark dealer,automatic,first owner,9,55.12912938382596,1,0,1,1,toyota
maruti s-cross zeta ddis 200 sh,2015,750000,45974,diesel,trustmark dealer,manual,first owner,11,16.313568538739286,1,0,0,1,maruti
hyundai i10 magna,2012,229999,49824,petrol,dealer,manual,first owner,14,4.616229126525369,0,1,0,1,hyundai
audi a6 2.0 tdi premium plus,2013,1300000,58500,diesel,dealer,automatic,first owner,13,22.22222222222222,1,1,1,1,audi
hyundai santro gs,2005,80000,56580,petrol,dealer,manual,first owner,21,1.4139271827500883,0,1,0,1,hyundai
skoda laura ambiente 2.0 tdi cr mt,2012,385000,52000,diesel,dealer,manual,first owner,14,7.403846153846154,1,1,0,1,skoda
hyundai verna 1.6 vtvt sx,2015,760000,55340,petrol,trustmark dealer,manual,first owner,11,13.733285146367907,0,0,0,1,hyundai
maruti swift dzire vdi,2017,600000,46507,diesel,trustmark dealer,manual,first owner,9,12.901283677725933,1,0,0,1,maruti
renault duster 85ps diesel rxl,2013,450000,1000,diesel,dealer,manual,second owner,13,450.0,1,1,0,2,renault
mercedes-benz c-class progressive c 220d,2018,3800000,10000,diesel,dealer,automatic,first owner,8,380.0,1,1,1,1,mercedes-benz
audi a4 3.0 tdi quattro,2013,1580000,86000,diesel,dealer,automatic,first owner,13,18.372093023255815,1,1,1,1,audi
bmw x5 xdrive 30d xline,2019,4950000,30000,diesel,dealer,automatic,first owner,7,165.0,1,1,1,1,bmw
hyundai creta 1.6 crdi sx,2016,535000,52600,diesel,individual,manual,first owner,10,10.171102661596958,1,0,0,1,hyundai
maruti sx4 vxi bsiv,2012,225000,110000,petrol,individual,manual,second owner,14,2.0454545454545454,0,0,0,2,maruti
hyundai grand i10 1.2 kappa magna at,2017,550000,19890,petrol,dealer,automatic,first owner,9,27.65208647561589,0,1,1,1,hyundai
maruti swift zxi bsiv,2016,670000,7104,petrol,trustmark dealer,manual,first owner,10,94.31306306306307,0,0,0,1,maruti
maruti ertiga vxi,2015,625000,11918,petrol,trustmark dealer,manual,first owner,11,52.44168484645075,0,0,0,1,maruti
hyundai grand i10 magna at,2017,520000,10510,petrol,dealer,automatic,first owner,9,49.476688867745004,0,1,1,1,hyundai
chevrolet beat lt option,2016,239000,41000,petrol,dealer,manual,first owner,10,5.829268292682927,0,1,0,1,chevrolet
toyota fortuner 4x2 at,2017,2600000,47162,diesel,trustmark dealer,automatic,first owner,9,55.12912938382596,1,0,1,1,toyota
maruti s-cross zeta ddis 200 sh,2015,750000,45974,diesel,trustmark dealer,manual,first owner,11,16.313568538739286,1,0,0,1,maruti
hyundai i10 magna,2012,229999,49824,petrol,dealer,manual,first owner,14,4.616229126525369,0,1,0,1,hyundai
audi a6 2.0 tdi premium plus,2013,1300000,58500,diesel,dealer,automatic,first owner,13,22.22222222222222,1,1,1,1,audi
hyundai santro gs,2005,80000,56580,petrol,dealer,manual,first owner,21,1.4139271827500883,0,1,0,1,hyundai
skoda laura ambiente 2.0 tdi cr mt,2012,385000,52000,diesel,dealer,manual,first owner,14,7.403846153846154,1,1,0,1,skoda
hyundai verna 1.6 vtvt sx,2015,760000,55340,petrol,trustmark dealer,manual,first owner,11,13.733285146367907,0,0,0,1,hyundai
maruti swift dzire vdi,2017,600000,46507,diesel,trustmark dealer,manual,first owner,9,12.901283677725933,1,0,0,1,maruti
renault duster 85ps diesel rxl,2013,450000,1000,diesel,dealer,manual,second owner,13,450.0,1,1,0,2,renault
mercedes-benz c-class progressive c 220d,2018,3800000,10000,diesel,dealer,automatic,first owner,8,380.0,1,1,1,1,mercedes-benz
audi a4 3.0 tdi quattro,2013,1580000,86000,diesel,dealer,automatic,first owner,13,18.372093023255815,1,1,1,1,audi
bmw x5 xdrive 30d xline,2019,4950000,30000,diesel,dealer,automatic,first owner,7,165.0,1,1,1,1,bmw
hyundai creta 1.6 crdi sx,2016,535000,52600,diesel,individual,manual,first owner,10,10.171102661596958,1,0,0,1,hyundai
maruti sx4 vxi bsiv,2012,225000,110000,petrol,individual,manual,second owner,14,2.0454545454545454,0,0,0,2,maruti
hyundai grand i10 1.2 kappa magna at,2017,550000,19890,petrol,dealer,automatic,first owner,9,27.65208647561589,0,1,1,1,hyundai
maruti swift zxi bsiv,2016,670000,7104,petrol,trustmark dealer,manual,first owner,10,94.31306306306307,0,0,0,1,maruti
maruti ertiga vxi,2015,625000,11918,petrol,trustmark dealer,manual,first owner,11,52.44168484645075,0,0,0,1,maruti
hyundai grand i10 magna at,2017,520000,10510,petrol,dealer,automatic,first owner,9,49.476688867745004,0,1,1,1,hyundai
chevrolet beat lt option,2016,239000,41000,petrol,dealer,manual,first owner,10,5.829268292682927,0,1,0,1,chevrolet
toyota fortuner 4x2 at,2017,2600000,47162,diesel,trustmark dealer,automatic,first owner,9,55.12912938382596,1,0,1,1,toyota
maruti s-cross zeta ddis 200 sh,2015,750000,45974,diesel,trustmark dealer,manual,first owner,11,16.313568538739286,1,0,0,1,maruti
hyundai i10 magna,2012,229999,49824,petrol,dealer,manual,first owner,14,4.616229126525369,0,1,0,1,hyundai
audi a6 2.0 tdi premium plus,2013,1300000,58500,diesel,dealer,automatic,first owner,13,22.22222222222222,1,1,1,1,audi
hyundai santro gs,2005,80000,56580,petrol,dealer,manual,first owner,21,1.4139271827500883,0,1,0,1,hyundai
skoda laura ambiente 2.0 tdi cr mt,2012,385000,52000,diesel,dealer,manual,first owner,14,7.403846153846154,1,1,0,1,skoda
hyundai verna 1.6 vtvt sx,2015,760000,55340,petrol,trustmark dealer,manual,first owner,11,13.733285146367907,0,0,0,1,hyundai
maruti swift dzire vdi,2017,600000,46507,diesel,trustmark dealer,manual,first owner,9,12.901283677725933,1,0,0,1,maruti
renault duster 85ps diesel rxl,2013,450000,1000,diesel,dealer,manual,second owner,13,450.0,1,1,0,2,renault
mercedes-benz c-class progressive c 220d,2018,3800000,10000,diesel,dealer,automatic,first owner,8,380.0,1,1,1,1,mercedes-benz
audi a4 3.0 tdi quattro,2013,1580000,86000,diesel,dealer,automatic,first owner,13,18.372093023255815,1,1,1,1,audi
bmw x5 xdrive 30d xline,2019,4950000,30000,diesel,dealer,automatic,first owner,7,165.0,1,1,1,1,bmw
hyundai creta 1.6 crdi sx,2016,535000,52600,diesel,individual,manual,first owner,10,10.171102661596958,1,0,0,1,hyundai
maruti sx4 vxi bsiv,2012,225000,110000,petrol,individual,manual,second owner,14,2.0454545454545454,0,0,0,2,maruti
hyundai grand i10 1.2 kappa magna at,2017,550000,19890,petrol,dealer,automatic,first owner,9,27.65208647561589,0,1,1,1,hyundai
maruti swift zxi bsiv,2016,670000,7104,petrol,trustmark dealer,manual,first owner,10,94.31306306306307,0,0,0,1,maruti
maruti ertiga vxi,2015,625000,11918,petrol,trustmark dealer,manual,first owner,11,52.44168484645075,0,0,0,1,maruti
hyundai grand i10 magna at,2017,520000,10510,petrol,dealer,automatic,first owner,9,49.476688867745004,0,1,1,1,hyundai
chevrolet beat lt option,2016,239000,41000,petrol,dealer,manual,first owner,10,5.829268292682927,0,1,0,1,chevrolet
toyota fortuner 4x2 at,2017,2600000,47162,diesel,trustmark dealer,automatic,first owner,9,55.12912938382596,1,0,1,1,toyota
maruti s-cross zeta ddis 200 sh,2015,750000,45974,diesel,trustmark dealer,manual,first owner,11,16.313568538739286,1,0,0,1,maruti
hyundai i10 magna,2012,229999,49824,petrol,dealer,manual,first owner,14,4.616229126525369,0,1,0,1,hyundai
audi a6 2.0 tdi premium plus,2013,1300000,58500,diesel,dealer,automatic,first owner,13,22.22222222222222,1,1,1,1,audi
hyundai santro gs,2005,80000,56580,petrol,dealer,manual,first owner,21,1.4139271827500883,0,1,0,1,hyundai
skoda laura ambiente 2.0 tdi cr mt,2012,385000,52000,diesel,dealer,manual,first owner,14,7.403846153846154,1,1,0,1,skoda
hyundai verna 1.6 vtvt sx,2015,760000,55340,petrol,trustmark dealer,manual,first owner,11,13.733285146367907,0,0,0,1,hyundai
maruti swift dzire vdi,2017,600000,46507,diesel,trustmark dealer,manual,first owner,9,12.901283677725933,1,0,0,1,maruti
hyundai i20 sportz 1.2,2013,350000,50000,petrol,individual,manual,second owner,13,7.0,0,0,0,2,hyundai
maruti alto 800 lxi,2014,114999,30000,petrol,individual,manual,first owner,12,3.8333,0,0,0,1,maruti
hyundai i20 sportz 1.2,2013,380000,50000,petrol,individual,manual,second owner,13,7.6,0,0,0,2,hyundai
maruti gypsy e mg410w st,1995,95000,100000,petrol,individual,manual,second owner,31,0.95,0,0,0,2,maruti
mahindra scorpio 1.99 s6 plus,2016,900000,35000,diesel,individual,manual,first owner,10,25.714285714285715,1,0,0,1,mahindra
chevrolet beat lt,2012,200999,90000,petrol,individual,manual,second owner,14,2.233322222222222,0,0,0,2,chevrolet
maruti omni e mpi std bs iv,2014,229999,11451,petrol,individual,manual,first owner,12,20.085494716618637,0,0,0,1,maruti
tata nexon 1.5 revotorq xz,2019,800000,60000,diesel,individual,manual,first owner,7,13.333333333333334,1,0,0,1,tata
mahindra verito 1.5 d4 bsiv,2012,150000,172000,diesel,individual,manual,second owner,14,0.872093023255814,1,0,0,2,mahindra
maruti swift vdi,2018,600000,60000,diesel,individual,manual,first owner,8,10.0,1,0,0,1,maruti
chevrolet tavera ls b3 7 seats bsii,2005,150000,150000,diesel,individual,manual,first owner,21,1.0,1,0,0,1,chevrolet
chevrolet optra magnum 2.0 ls,2009,150000,66000,diesel,individual,manual,first owner,17,2.272727272727273,1,0,0,1,chevrolet
maruti eeco 5 seater standard bsiv,2019,380000,5000,petrol,individual,manual,first owner,7,76.0,0,0,0,1,maruti
maruti swift 1.3 vxi,2006,80000,66508,petrol,individual,manual,second owner,20,1.2028628134961208,0,0,0,2,maruti
honda civic 1.8 mt sport,2007,225000,55000,petrol,individual,manual,second owner,19,4.090909090909091,0,0,0,2,honda
tata nano lx bsiv,2012,75000,29900,petrol,individual,manual,first owner,14,2.508361204013378,0,0,0,1,tata
tata hexa xt 4x4,2017,1600000,3000,diesel,individual,manual,first owner,9,533.3333333333334,1,0,0,1,tata
tata indica vista quadrajet vx,2012,185000,85000,diesel,individual,manual,first owner,14,2.176470588235294,1,0,0,1,tata
mahindra scorpio 2.6 crde sle,2011,425000,50000,diesel,individual,manual,first owner,15,8.5,1,0,0,1,mahindra
tata indica vista aqua 1.4 tdi,2010,100000,120000,diesel,individual,manual,second owner,16,0.8333333333333334,1,0,0,2,tata
maruti zen estilo lxi bsiii,2008,140000,90000,petrol,individual,manual,third owner,18,1.5555555555555556,0,0,0,3,maruti
maruti swift dzire amt zxi plus bs iv,2017,710000,8000,petrol,individual,automatic,first owner,9,88.75,0,0,1,1,maruti
honda amaze s at i-vtech,2015,450000,7900,petrol,individual,automatic,first owner,11,56.962025316455694,0,0,1,1,honda
datsun redigo t option,2017,210000,50000,petrol,individual,manual,first owner,9,4.2,0,0,0,1,datsun
maruti alto k10 vxi,2016,270000,25000,petrol,individual,manual,first owner,10,10.8,0,0,0,1,maruti
maruti alto lxi,2009,110000,20000,petrol,individual,manual,first owner,17,5.5,0,0,0,1,maruti
maruti swift vxi,2018,540000,17500,petrol,individual,manual,first owner,8,30.857142857142858,0,0,0,1,maruti
mahindra renault logan 1.4 glx petrol,2008,145000,25000,petrol,individual,manual,first owner,18,5.8,0,0,0,1,mahindra
tata safari storme vx,2013,360000,206500,diesel,individual,manual,first owner,13,1.7433414043583535,1,0,0,1,tata
hyundai i10 magna lpg,2013,250000,88600,lpg,individual,manual,first owner,13,2.8216704288939054,0,0,0,1,hyundai
tata venture ex,2012,110000,80000,diesel,individual,manual,first owner,14,1.375,1,0,0,1,tata
chevrolet captiva lt,2008,250000,100000,diesel,individual,manual,fourth & above owner,18,2.5,1,0,0,4,chevrolet
ford fiesta classic 1.4 duratorq clxi,2011,150000,186000,diesel,individual,manual,second owner,15,0.8064516129032258,1,0,0,2,ford
chevrolet aveo u-va 1.2 ls,2010,140000,60000,petrol,individual,manual,first owner,16,2.3333333333333335,0,0,0,1,chevrolet
maruti ciaz zeta bsiv,2019,925000,11000,petrol,individual,manual,first owner,7,84.0909090909091,0,0,0,1,maruti
tata hexa xm,2017,969999,30000,diesel,individual,manual,first owner,9,32.3333,1,0,0,1,tata
hyundai santro xing gl plus cng,2007,90000,80000,cng,individual,manual,third owner,19,1.125,0,0,0,3,hyundai
hyundai santro gls i - euro i,2001,55000,60000,petrol,individual,manual,third owner,25,0.9166666666666666,0,0,0,3,hyundai
hyundai verna crdi,2007,155000,100000,diesel,individual,manual,fourth & above owner,19,1.55,1,0,0,4,hyundai
mahindra thar crde abs,2019,900000,15000,diesel,individual,manual,first owner,7,60.0,1,0,0,1,mahindra
maruti alto k10 2010-2014 vxi,2011,135000,90000,petrol,individual,manual,first owner,15,1.5,0,0,0,1,maruti
maruti 800 ac,2012,180000,120000,petrol,individual,manual,first owner,14,1.5,0,0,0,1,maruti
hyundai verna 1.6 sx,2013,495000,100000,diesel,individual,manual,second owner,13,4.95,1,0,0,2,hyundai
toyota innova 2.5 v diesel 8-seater,2009,400000,138000,diesel,individual,manual,third owner,17,2.898550724637681,1,0,0,3,toyota
hyundai verna crdi,2008,250000,110000,diesel,individual,manual,second owner,18,2.272727272727273,1,0,0,2,hyundai
maruti alto k10 lxi,2015,138000,120000,petrol,individual,manual,fourth & above owner,11,1.15,0,0,0,4,maruti
honda city 1.5 v at,2011,311000,70000,petrol,individual,automatic,second owner,15,4.442857142857143,0,0,1,2,honda
maruti alto 800 vxi,2015,190000,70000,petrol,individual,manual,first owner,11,2.7142857142857144,0,0,0,1,maruti
mahindra bolero slx,2011,311000,140000,diesel,individual,manual,first owner,15,2.2214285714285715,1,0,0,1,mahindra
maruti ritz lxi,2009,300000,15000,petrol,individual,manual,first owner,17,20.0,0,0,0,1,maruti
honda jazz vx,2018,600000,20000,petrol,individual,manual,first owner,8,30.0,0,0,0,1,honda
mahindra scorpio sle bsiii,2009,550000,100000,diesel,individual,manual,first owner,17,5.5,1,0,0,1,mahindra
skoda rapid 1.6 mpi at elegance plus,2015,600000,70000,petrol,individual,automatic,first owner,11,8.571428571428571,0,0,1,1,skoda
maruti alto 800 vxi,2018,195000,5000,petrol,individual,manual,first owner,8,39.0,0,0,0,1,maruti
tata nano lx,2013,58000,27974,petrol,individual,manual,first owner,13,2.0733538285550868,0,0,0,1,tata
maruti alto 800 vxi,2018,183000,40000,petrol,individual,manual,first owner,8,4.575,0,0,0,1,maruti
maruti zen estilo 1.1 vxi bsiii,2007,95000,80000,petrol,individual,manual,first owner,19,1.1875,0,0,0,1,maruti
maruti wagon r lx minor,2013,250000,38000,petrol,individual,manual,first owner,13,6.578947368421052,0,0,0,1,maruti
maruti wagon r lx minor,2013,250000,38000,petrol,individual,manual,first owner,13,6.578947368421052,0,0,0,1,maruti
tata zest revotron 1.2 xt,2014,400000,35000,petrol,individual,manual,first owner,12,11.428571428571429,0,0,0,1,tata
hyundai verna 1.6 sx crdi (o),2012,409999,60000,diesel,individual,manual,second owner,14,6.833316666666667,1,0,0,2,hyundai
skoda octavia classic 1.9 tdi mt,2004,120000,120000,diesel,individual,manual,second owner,22,1.0,1,0,0,2,skoda
maruti swift amt vxi,2018,600000,18000,petrol,individual,automatic,first owner,8,33.333333333333336,0,0,1,1,maruti
honda amaze sx i-vtec,2016,600000,10000,petrol,individual,manual,first owner,10,60.0,0,0,0,1,honda
mahindra xuv500 w6 2wd,2015,825000,90000,diesel,individual,manual,third owner,11,9.166666666666666,1,0,0,3,mahindra
toyota etios gd,2016,625000,80000,diesel,individual,manual,second owner,10,7.8125,1,0,0,2,toyota
hyundai grand i10 nios magna crdi,2020,700000,1400,diesel,individual,manual,first owner,6,500.0,1,0,0,1,hyundai
chevrolet beat ls,2011,160000,60000,petrol,individual,manual,first owner,15,2.6666666666666665,0,0,0,1,chevrolet
maruti alto lx,2011,114999,60000,petrol,individual,manual,third owner,15,1.91665,0,0,0,3,maruti
maruti wagon r lxi minor,2009,150000,53000,petrol,individual,manual,first owner,17,2.830188679245283,0,0,0,1,maruti
volkswagen jetta 1.9 l tdi,2010,250000,100000,diesel,dealer,manual,first owner,16,2.5,1,1,0,1,volkswagen
hyundai verna 1.6 sx,2012,390000,86000,diesel,dealer,manual,second owner,14,4.534883720930233,1,1,0,2,hyundai
renault duster 85ps diesel rxl,2015,650000,100000,diesel,individual,manual,first owner,11,6.5,1,0,0,1,renault
hyundai xcent 1.1 crdi sx option,2016,600000,30000,diesel,individual,manual,first owner,10,20.0,1,0,0,1,hyundai
hyundai i20 1.2 sportz,2011,250000,120000,petrol,individual,manual,first owner,15,2.0833333333333335,0,0,0,1,hyundai
hyundai santro xing gl plus lpg,2011,229999,60000,lpg,individual,manual,second owner,15,3.8333166666666667,0,0,0,2,hyundai
maruti ritz ldi,2016,299000,50000,diesel,individual,manual,second owner,10,5.98,1,0,0,2,maruti
chevrolet cruze ltz,2010,330000,124000,diesel,individual,manual,second owner,16,2.661290322580645,1,0,0,2,chevrolet
hyundai accent executive,2012,180000,100000,petrol,individual,manual,third owner,14,1.8,0,0,0,3,hyundai
hyundai grand i10 1.2 kappa asta,2017,475000,42000,petrol,individual,manual,first owner,9,11.30952380952381,0,0,0,1,hyundai
hyundai grand i10 crdi sportz,2015,325000,100000,diesel,individual,manual,first owner,11,3.25,1,0,0,1,hyundai
honda city i vtec v,2016,639000,28205,petrol,dealer,manual,first owner,10,22.65555752526148,0,1,0,1,honda
maruti celerio vxi at,2017,415000,32670,petrol,dealer,automatic,first owner,9,12.702785430058157,0,1,1,1,maruti
hyundai creta 1.6 crdi at sx plus,2016,1199000,30093,diesel,dealer,automatic,first owner,10,39.8431528926993,1,1,1,1,hyundai
maruti ertiga vxi cng,2013,525000,56228,cng,dealer,manual,first owner,13,9.336985131962724,0,1,0,1,maruti
hyundai verna 1.6 sx vtvt,2013,425000,59319,petrol,dealer,manual,first owner,13,7.164652135066336,0,1,0,1,hyundai
maruti vitara brezza vdi,2016,699000,39503,diesel,dealer,manual,first owner,10,17.694858618332784,1,1,0,1,maruti
hyundai grand i10 1.2 kappa sportz dual tone,2013,325000,35299,petrol,dealer,manual,first owner,13,9.207059690076207,0,1,0,1,hyundai
toyota etios v,2011,275000,51687,petrol,dealer,manual,first owner,15,5.3204867761719585,0,1,0,1,toyota
volkswagen vento petrol highline at,2011,269000,76259,petrol,dealer,automatic,first owner,15,3.5274524974101418,0,1,1,1,volkswagen
volkswagen polo diesel highline 1.2l,2013,399000,44049,diesel,dealer,manual,first owner,13,9.058094394878431,1,1,0,1,volkswagen
mahindra kuv 100 mfalcon d75 k8,2017,475000,45087,diesel,dealer,manual,first owner,9,10.53518752633797,1,1,0,1,mahindra
toyota etios v,2011,249000,41125,petrol,dealer,manual,first owner,15,6.054711246200608,0,1,0,1,toyota
audi a4 new  2.0 tdi multitronic,2014,1549000,42215,diesel,dealer,automatic,first owner,12,36.69311855975364,1,1,1,1,audi
volkswagen polo petrol highline 1.2l,2011,254999,54206,petrol,dealer,manual,first owner,15,4.7042578312363945,0,1,0,1,volkswagen
skoda rapid 1.6 mpi active,2012,269000,52547,petrol,dealer,manual,first owner,14,5.119226597141607,0,1,0,1,skoda
maruti ertiga zdi,2014,665000,59110,diesel,dealer,manual,first owner,12,11.250211470140416,1,1,0,1,maruti
maruti wagon r stingray lxi,2014,299000,54565,petrol,dealer,manual,first owner,12,5.479703106386878,0,1,0,1,maruti
hyundai i20 asta,2010,265000,47564,petrol,dealer,manual,second owner,16,5.571440585316626,0,1,0,2,hyundai
volkswagen polo petrol highline 1.2l,2010,211000,45143,petrol,dealer,manual,second owner,16,4.674035841658729,0,1,0,2,volkswagen
skoda superb 1.8 tsi,2013,599000,61624,petrol,dealer,automatic,second owner,13,9.720238867973517,0,1,1,2,skoda
tata indigo ls,2007,55000,195000,diesel,individual,manual,third owner,19,0.28205128205128205,1,0,0,3,tata
hyundai verna 1.6 sx crdi (o),2014,550000,50000,diesel,individual,manual,first owner,12,11.0,1,0,0,1,hyundai
land rover discovery sport td4 hse 7s,2018,4000000,68000,diesel,individual,automatic,first owner,8,58.8235294117647,1,0,1,1,land
tata sumo gx tc 8 str,2010,220000,120000,diesel,individual,manual,second owner,16,1.8333333333333333,1,0,0,2,tata
maruti swift vxi,2019,500000,20000,petrol,individual,manual,first owner,7,25.0,0,0,0,1,maruti
maruti alto lxi,2010,140000,30000,petrol,individual,manual,first owner,16,4.666666666666667,0,0,0,1,maruti
maruti swift vdi,2013,325000,60000,diesel,individual,manual,first owner,13,5.416666666666667,1,0,0,1,maruti
hyundai i20 magna,2010,210000,90000,petrol,individual,manual,third owner,16,2.3333333333333335,0,0,0,3,hyundai
maruti alto lxi,2008,110000,90000,petrol,individual,manual,second owner,18,1.2222222222222223,0,0,0,2,maruti
hyundai verna crdi 1.6 sx option,2019,1200000,25000,diesel,individual,manual,first owner,7,48.0,1,0,0,1,hyundai
maruti alto 800 vxi,2017,229999,40000,petrol,individual,manual,first owner,9,5.749975,0,0,0,1,maruti
maruti sx4 vxi bsiv,2012,225000,110000,petrol,individual,manual,second owner,14,2.0454545454545454,0,0,0,2,maruti
maruti alto 800 lxi,2006,165000,132000,petrol,individual,manual,first owner,20,1.25,0,0,0,1,maruti
tata tiago xza amt,2018,525000,10980,petrol,dealer,automatic,first owner,8,47.814207650273225,0,1,1,1,tata
hyundai eon era plus,2018,325000,20629,petrol,dealer,manual,first owner,8,15.754520335450094,0,1,0,1,hyundai
toyota innova crysta 2.4 vx mt bsiv,2018,1500000,50000,diesel,individual,manual,first owner,8,30.0,1,0,0,1,toyota
hyundai grand i10 at asta,2015,400000,30000,petrol,individual,automatic,first owner,11,13.333333333333334,0,0,1,1,hyundai
maruti ciaz vxi,2015,550000,69782,petrol,dealer,manual,first owner,11,7.8816886876271814,0,1,0,1,maruti
maruti 800 std,2003,98000,54000,petrol,individual,manual,first owner,23,1.8148148148148149,0,0,0,1,maruti
mahindra xuv500 w8 4wd,2013,900000,63654,diesel,dealer,manual,first owner,13,14.138938637006316,1,1,0,1,mahindra
renault lodgy 85ps rxl,2017,700000,60000,diesel,individual,manual,first owner,9,11.666666666666666,1,0,0,1,renault
mahindra scorpio s6 plus 7 seater,2015,890000,52000,diesel,dealer,manual,first owner,11,17.115384615384617,1,1,0,1,mahindra
maruti swift ldi bsiv,2015,490000,59385,diesel,dealer,manual,first owner,11,8.251241896101709,1,1,0,1,maruti
hyundai i20 2015-2017 magna 1.2,2015,525000,70378,petrol,dealer,manual,first owner,11,7.45971752536304,0,1,0,1,hyundai
maruti wagon r lxi bs iv,2013,330000,55425,petrol,dealer,manual,first owner,13,5.953991880920162,0,1,0,1,maruti
mahindra bolero 2011-2019 slx 2wd bsiii,2013,550000,78413,diesel,dealer,manual,second owner,13,7.014143063012511,1,1,0,2,mahindra
mahindra bolero power plus slx,2018,790000,40890,diesel,dealer,manual,first owner,8,19.320127170457326,1,1,0,1,mahindra
honda brio s mt,2015,350000,34823,petrol,dealer,manual,second owner,11,10.050828475432903,0,1,0,2,honda
toyota innova crysta 2.8 zx at bsiv,2017,1700000,75000,diesel,individual,automatic,first owner,9,22.666666666666668,1,0,1,1,toyota
maruti ciaz vdi shvs,2017,750000,55545,diesel,dealer,manual,first owner,9,13.502565487442615,1,1,0,1,maruti
honda amaze ex i-dtech,2014,409999,56541,diesel,dealer,manual,first owner,12,7.251357422047717,1,1,0,1,honda
hyundai eon magna plus,2016,220000,43700,petrol,individual,manual,first owner,10,5.034324942791762,0,0,0,1,hyundai
tata indica gls bs iv,2009,68000,120000,petrol,individual,manual,second owner,17,0.5666666666666667,0,0,0,2,tata
hyundai eon era plus,2017,290000,20000,petrol,individual,manual,first owner,9,14.5,0,0,0,1,hyundai
honda city i dtec sv,2014,600000,27483,diesel,dealer,manual,first owner,12,21.831677764436197,1,1,0,1,honda
maruti swift lxi,2019,470000,8000,petrol,individual,manual,first owner,7,58.75,0,0,0,1,maruti
hyundai i10 sportz 1.2,2008,150000,30000,petrol,individual,manual,first owner,18,5.0,0,0,0,1,hyundai
maruti alto 800 lxi,2014,180000,56207,petrol,dealer,manual,second owner,12,3.2024480936538153,0,1,0,2,maruti
maruti zen lxi,2006,80000,70000,petrol,individual,manual,first owner,20,1.1428571428571428,0,0,0,1,maruti
honda wr-v i-vtec vx,2018,875000,1440,petrol,individual,manual,first owner,8,607.6388888888889,0,0,0,1,honda
maruti alto 800 lxi,2019,300000,50000,petrol,individual,manual,first owner,7,6.0,0,0,0,1,maruti
toyota fortuner 2.8 2wd at bsiv,2017,2800000,20000,diesel,individual,automatic,first owner,9,140.0,1,0,1,1,toyota
toyota innova crysta 2.4 zx mt,2017,1330000,91195,diesel,dealer,manual,first owner,9,14.584132902023137,1,1,0,1,toyota
volkswagen polo 1.5 tdi trendline,2011,220000,63657,diesel,dealer,manual,first owner,15,3.4560221185415587,1,1,0,1,volkswagen
mahindra verito vibe 1.5 dci d4,2013,250000,60000,diesel,individual,manual,first owner,13,4.166666666666667,1,0,0,1,mahindra
toyota innova 2.5 g (diesel) 7 seater,2016,919999,75000,diesel,dealer,manual,first owner,10,12.266653333333334,1,1,0,1,toyota
volkswagen vento magnific 1.6 highline,2013,380000,97248,petrol,dealer,manual,first owner,13,3.907535373478118,0,1,0,1,volkswagen
maruti swift vdi,2012,450000,46000,diesel,individual,manual,first owner,14,9.782608695652174,1,0,0,1,maruti
